actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D669.2/LYB,D669.2/LYB,0.9925,True,green,排序正确,1,"[0, 557, 8, 127]","[0, 557, 39, 127]",train_final\IMG20260517094107\crops\ocr_crop_003.jpg
2,D669.2/LYK,D669.2/LYK,0.9958,True,green,排序正确,2,"[0, 566, 8, 117]","[30, 566, 35, 117]",train_final\IMG20260517094107\crops\ocr_crop_010.jpg
3,D669.2/LYN,D669.2/LYN,0.9935,True,green,排序正确,3,"[0, 562, 8, 124]","[76, 562, 36, 124]",train_final\IMG20260517094107\crops\ocr_crop_007.jpg
4,D669.2/LYX,D669.2/LYX,0.9849,True,green,排序正确,4,"[0, 555, 8, 123]","[114, 555, 37, 123]",train_final\IMG20260517094107\crops\ocr_crop_001.jpg
5,D669.2/MFJ,D669.2/MFJ,0.9946,True,green,排序正确,5,"[0, 559, 8, 119]","[145, 559, 36, 119]",train_final\IMG20260517094107\crops\ocr_crop_004.jpg
6,D669.2/MJ,D669.2/MJ,0.9932,True,green,排序正确,6,"[0, 564, 8, 108]","[174, 564, 36, 108]",train_final\IMG20260517094107\crops\ocr_crop_006.jpg
7,D669.2/MQJ,D669.2/MQJ,0.9812,True,green,排序正确,7,"[0, 565, 8, 117]","[196, 565, 34, 117]",train_final\IMG20260517094107\crops\ocr_crop_008.jpg
8,D669.2/MR2,D669.2/MR2,0.9900,True,green,排序正确,8,"[0, 555, 8, 128]","[230, 555, 34, 128]",train_final\IMG20260517094107\crops\ocr_crop_002.jpg
9,D669.3/NCJ,D669.3/NCJ,0.9956,True,green,排序正确,9,"[0, 559, 8, 119]","[273, 559, 36, 119]",train_final\IMG20260517094107\crops\ocr_crop_005.jpg
10,D669.2/0YJ,D669.2/OYJ,0.9880,True,green,排序正确,10,"[0, 571, 8, 117]","[304, 571, 34, 117]",train_final\IMG20260517094107\crops\ocr_crop_015.jpg
11,D669.2/QFX,D669.2/QFX,0.9931,True,green,排序正确,11,"[0, 569, 8, 122]","[335, 569, 32, 122]",train_final\IMG20260517094107\crops\ocr_crop_013.jpg
12,D669.2/QJ,D669.2/QJ,0.9101,True,green,排序正确,12,"[0, 571, 8, 112]","[383, 571, 35, 112]",train_final\IMG20260517094107\crops\ocr_crop_014.jpg
13,D669.2/RJ,D669.2/RJ,0.9922,True,green,排序正确,13,"[0, 578, 8, 108]","[424, 578, 32, 108]",train_final\IMG20260517094107\crops\ocr_crop_021.jpg
14,D669.2/SH,D669.2/SH,0.9988,True,green,排序正确,14,"[0, 579, 8, 99]","[451, 579, 30, 99]",train_final\IMG20260517094107\crops\ocr_crop_020.jpg
15,D669.2/SHK,D669.2/SHK,0.9975,True,green,排序正确,15,"[0, 577, 8, 119]","[479, 577, 31, 119]",train_final\IMG20260517094107\crops\ocr_crop_025.jpg
16,D669.2/SLF,D669.2/SLF,0.9959,True,green,排序正确,16,"[0, 573, 8, 119]","[507, 573, 32, 119]",train_final\IMG20260517094107\crops\ocr_crop_017.jpg
17,D669.2/SZX,D669.2/SZX,0.9622,True,green,排序正确,17,"[0, 578, 8, 118]","[541, 578, 34, 118]",train_final\IMG20260517094107\crops\ocr_crop_027.jpg
18,D669.2/TCC,D669.2/TCC,0.9955,True,green,排序正确,18,"[0, 570, 8, 122]","[563, 570, 34, 122]",train_final\IMG20260517094107\crops\ocr_crop_016.jpg
19,D669.2/THF,D669.2/THF,0.9942,True,green,排序正确,19,"[0, 573, 8, 119]","[600, 573, 31, 119]",train_final\IMG20260517094107\crops\ocr_crop_018.jpg
20,D669.2/TJJ,D669.2/TJJ,0.7821,True,green,排序正确,20,"[0, 566, 8, 133]","[641, 566, 37, 133]",train_final\IMG20260517094107\crops\ocr_crop_011.jpg
21,D669.2/TM,D669.2/TM,0.9657,True,green,排序正确,21,"[0, 584, 8, 109]","[688, 584, 36, 109]",train_final\IMG20260517094107\crops\ocr_crop_032.jpg
22,D669.2/TYS1,D669.2/TYS1,0.9862,True,green,排序正确,22,"[0, 575, 8, 128]","[723, 575, 36, 128]",train_final\IMG20260517094107\crops\ocr_crop_026.jpg
23,D669.2/WCH,D669.2/WCH,0.9958,True,green,排序正确,23,"[0, 576, 8, 117]","[756, 576, 37, 117]",train_final\IMG20260517094107\crops\ocr_crop_022.jpg
24,D669.2/WCY,D669.2/WCY,0.9955,True,green,排序正确,24,"[0, 581, 8, 119]","[783, 581, 34, 119]",train_final\IMG20260517094107\crops\ocr_crop_031.jpg
25,D669.2/D,D669.2/D,0.9211,True,green,排序正确,25,"[0, 576, 8, 128]","[811, 576, 42, 128]",train_final\IMG20260517094107\crops\ocr_crop_028.jpg
26,D669.2/WH,D669.2/WH,0.9319,True,green,排序正确,26,"[0, 561, 8, 136]","[851, 561, 37, 136]",train_final\IMG20260517094107\crops\ocr_crop_009.jpg
27,D669.2/WL1,D669.2/WL1,0.9961,True,green,排序正确,27,"[0, 567, 8, 128]","[883, 567, 36, 128]",train_final\IMG20260517094107\crops\ocr_crop_012.jpg
28,D669.2/WLX,D669.2/WLX,0.9977,True,green,排序正确,28,"[0, 576, 8, 117]","[904, 576, 34, 117]",train_final\IMG20260517094107\crops\ocr_crop_023.jpg
29,D669.2/WPS,D669.2/WPS,0.9811,True,green,排序正确,29,"[0, 580, 8, 118]","[937, 580, 38, 118]",train_final\IMG20260517094107\crops\ocr_crop_029.jpg
30,D669.2/WQ,D669.2/WQ,0.9187,True,green,排序正确,30,"[0, 577, 8, 104]","[966, 577, 32, 104]",train_final\IMG20260517094107\crops\ocr_crop_019.jpg
31,D669.2/WRQ,D669.2/WRQ,0.9892,True,green,排序正确,31,"[0, 580, 8, 117]","[987, 580, 39, 117]",train_final\IMG20260517094107\crops\ocr_crop_030.jpg
32,D669.2/WT1,D669.2/WT1,0.9866,True,green,排序正确,32,"[0, 574, 8, 127]","[1019, 574, 39, 127]",train_final\IMG20260517094107\crops\ocr_crop_024.jpg
33,D669.2/WWM,D669.2/WWM,0.9739,True,green,排序正确,33,"[0, 584, 8, 118]","[1097, 584, 39, 118]",train_final\IMG20260517094107\crops\ocr_crop_033.jpg
34,D669.2/WX,D669.2/WX,0.9398,True,green,排序正确,34,"[0, 596, 8, 104]","[1132, 596, 36, 104]",train_final\IMG20260517094107\crops\ocr_crop_035.jpg
35,D669.2/WXF,D669.2/WXF,0.9889,True,green,排序正确,35,"[0, 587, 8, 119]","[1162, 587, 38, 119]",train_final\IMG20260517094107\crops\ocr_crop_034.jpg
