actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D669.2/ZGJ,D669.2/ZGJ,0.9711,True,green,排序正确,1,"[0, 636, 8, 128]","[0, 636, 27, 128]",train_final\IMG20260517094231\crops\ocr_crop_013.jpg
2,￥D669.2/ZGJ,D669.2/ZGJ,0.9423,True,green,排序正确,2,"[0, 613, 8, 162]","[21, 613, 40, 162]",train_final\IMG20260517094231\crops\ocr_crop_001.jpg
3,D669.2/ZGJ1,D669.2/ZGJ1,0.9577,True,green,排序正确,3,"[0, 623, 8, 143]","[68, 623, 38, 143]",train_final\IMG20260517094231\crops\ocr_crop_005.jpg
4,D669.2/7GJ2,D669.2/7GJ2,0.9130,True,green,排序正确,4,"[0, 619, 8, 147]","[107, 619, 38, 147]",train_final\IMG20260517094231\crops\ocr_crop_002.jpg
5,D669.2/ZGQ,D669.2/ZGQ,0.9931,True,green,排序正确,5,"[0, 630, 8, 133]","[152, 630, 38, 133]",train_final\IMG20260517094231\crops\ocr_crop_008.jpg
6,D669.2/ZHM,D669.2/ZHM,0.9926,True,green,排序正确,6,"[0, 634, 8, 133]","[198, 634, 36, 133]",train_final\IMG20260517094231\crops\ocr_crop_010.jpg
7,D669.2/7JY,D669.2/7JY,0.9324,True,green,排序正确,7,"[0, 618, 8, 156]","[238, 618, 35, 156]",train_final\IMG20260517094231\crops\ocr_crop_003.jpg
8,D669.2/ZLM,D669.2/ZLM,0.9968,True,green,排序正确,8,"[0, 644, 8, 128]","[274, 644, 32, 128]",train_final\IMG20260517094231\crops\ocr_crop_025.jpg
9,D669.2/ZLM1,D669.2/ZLM1,0.9877,True,green,排序正确,9,"[0, 627, 8, 138]","[303, 627, 34, 138]",train_final\IMG20260517094231\crops\ocr_crop_006.jpg
10,D669.2/ZM1,D669.2/ZM1,0.9927,True,green,排序正确,10,"[0, 622, 8, 142]","[343, 622, 34, 142]",train_final\IMG20260517094231\crops\ocr_crop_004.jpg
11,D669.2/ZQR,D669.2/ZQR,0.9963,True,green,排序正确,11,"[0, 639, 8, 128]","[383, 639, 32, 128]",train_final\IMG20260517094231\crops\ocr_crop_020.jpg
12,D669.2/ZWX,D669.2/ZWX,0.9810,True,green,排序正确,12,"[0, 637, 8, 124]","[417, 637, 30, 124]",train_final\IMG20260517094231\crops\ocr_crop_014.jpg
13,D669.2/ZWX1,D669.2/ZWX1,0.9840,True,green,排序正确,13,"[0, 627, 8, 142]","[445, 627, 33, 142]",train_final\IMG20260517094231\crops\ocr_crop_007.jpg
14,D669.2/ZXJ2,D669.2/ZXJ2,0.9734,True,green,排序正确,14,"[0, 637, 8, 138]","[474, 637, 30, 138]",train_final\IMG20260517094231\crops\ocr_crop_021.jpg
15,D669.2/ZXJ3,D669.2/ZXJ3,0.9606,True,green,排序正确,15,"[0, 629, 8, 142]","[502, 629, 36, 142]",train_final\IMG20260517094231\crops\ocr_crop_009.jpg
16,D669.2/7XQ2,D669.2/7XQ2,0.9628,True,green,排序正确,16,"[0, 637, 8, 137]","[543, 637, 32, 137]",train_final\IMG20260517094231\crops\ocr_crop_022.jpg
