actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D669.3/C7c,D669.3/C7C,0.9271,True,green,排序正确,1,"[0, 592, 8, 158]","[0, 592, 29, 158]",train_final\IMG20260517094312\crops\ocr_crop_001.jpg
2,D669.3/CZH,D669.3/CZH,0.9984,True,green,排序正确,2,"[0, 602, 8, 153]","[38, 602, 46, 153]",train_final\IMG20260517094312\crops\ocr_crop_007.jpg
3,D669.3/DBB,D669.3/DBB,0.9788,True,green,排序正确,3,"[0, 609, 8, 146]","[68, 609, 39, 146]",train_final\IMG20260517094312\crops\ocr_crop_019.jpg
4,D669.3/DHJ,D669.3/DHJ,0.9960,True,green,排序正确,4,"[0, 604, 8, 151]","[93, 604, 46, 151]",train_final\IMG20260517094312\crops\ocr_crop_013.jpg
5,D669.3/DJM,D669.3/DJM,0.9967,True,green,排序正确,5,"[0, 602, 8, 157]","[136, 602, 44, 157]",train_final\IMG20260517094312\crops\ocr_crop_008.jpg
6,D669.3/DJW,D669.3/DJW,0.9917,True,green,排序正确,6,"[0, 601, 8, 162]","[186, 601, 44, 162]",train_final\IMG20260517094312\crops\ocr_crop_009.jpg
7,D669.3/DJW1,D669.3/DJW1,0.9961,True,green,排序正确,7,"[0, 599, 8, 170]","[223, 599, 47, 170]",train_final\IMG20260517094312\crops\ocr_crop_010.jpg
8,D669.3/DLY,D669.3/DLY,0.9966,True,green,排序正确,8,"[0, 605, 8, 151]","[268, 605, 39, 151]",train_final\IMG20260517094312\crops\ocr_crop_015.jpg
9,D669.3/DPP,D669.3/DPP,0.9982,True,green,排序正确,9,"[0, 600, 8, 152]","[301, 600, 38, 152]",train_final\IMG20260517094312\crops\ocr_crop_004.jpg
10,D669.3/DQ1,D669.3/DQ1,0.9968,True,green,排序正确,10,"[0, 599, 8, 171]","[342, 599, 44, 171]",train_final\IMG20260517094312\crops\ocr_crop_011.jpg
11,D669.3/DS,D669.3/DS,0.9983,True,green,排序正确,11,"[0, 608, 8, 138]","[388, 608, 35, 138]",train_final\IMG20260517094312\crops\ocr_crop_016.jpg
12,D669.3/DSL,D669.3/DSL,0.9983,True,green,排序正确,12,"[0, 601, 8, 153]","[417, 601, 39, 153]",train_final\IMG20260517094312\crops\ocr_crop_006.jpg
13,D669.3/DTT,D669.3/DTT,0.9979,True,green,排序正确,13,"[0, 609, 8, 156]","[460, 609, 39, 156]",train_final\IMG20260517094312\crops\ocr_crop_022.jpg
14,D669.3/DTT1,D669.3/DTT1,0.9973,True,green,排序正确,14,"[0, 600, 8, 166]","[521, 600, 41, 166]",train_final\IMG20260517094312\crops\ocr_crop_012.jpg
15,D669.3/DYL,D669.3/DYL,0.9995,True,green,排序正确,15,"[0, 613, 8, 151]","[564, 613, 35, 151]",train_final\IMG20260517094312\crops\ocr_crop_027.jpg
16,D669.3/DYN,D669.3/DYN,0.9765,True,green,排序正确,16,"[0, 609, 8, 146]","[596, 609, 35, 146]",train_final\IMG20260517094312\crops\ocr_crop_020.jpg
17,D669.3/FB,D669.3/FB,0.9967,True,green,排序正确,17,"[0, 607, 8, 137]","[650, 607, 35, 137]",train_final\IMG20260517094312\crops\ocr_crop_014.jpg
18,D669.3/FCH,D669.3/FCH,0.9971,True,green,排序正确,18,"[0, 611, 8, 147]","[697, 611, 37, 147]",train_final\IMG20260517094312\crops\ocr_crop_023.jpg
19,D669.3/FF,D669.3/FF,0.9969,True,green,排序正确,19,"[0, 616, 8, 133]","[754, 616, 34, 133]",train_final\IMG20260517094312\crops\ocr_crop_024.jpg
20,D669.3/FFC,D669.3/FFC,0.9366,True,green,排序正确,20,"[0, 600, 8, 148]","[791, 600, 37, 148]",train_final\IMG20260517094312\crops\ocr_crop_003.jpg
21,D669.3/FFZ,D669.3/FFZ,0.9993,True,green,排序正确,21,"[0, 612, 8, 136]","[828, 612, 34, 136]",train_final\IMG20260517094312\crops\ocr_crop_021.jpg
22,D669.3/FH,D669.3/FH,0.9958,True,green,排序正确,22,"[0, 602, 8, 141]","[880, 602, 40, 141]",train_final\IMG20260517094312\crops\ocr_crop_005.jpg
23,D669.3/FHY,D669.3/FHY,0.9979,True,green,排序正确,23,"[0, 613, 8, 148]","[920, 613, 39, 148]",train_final\IMG20260517094312\crops\ocr_crop_025.jpg
24,D669.3/FJG,D669.3/FJG,0.9922,True,green,排序正确,24,"[0, 612, 8, 152]","[972, 612, 39, 152]",train_final\IMG20260517094312\crops\ocr_crop_026.jpg
25,D669.3/FL,D669.3/FL,0.9974,True,green,排序正确,25,"[0, 608, 8, 136]","[1022, 608, 40, 136]",train_final\IMG20260517094312\crops\ocr_crop_017.jpg
26,D669.3/FL1,D669.3/FL1,0.9970,True,green,排序正确,26,"[0, 594, 8, 170]","[1055, 594, 41, 170]",train_final\IMG20260517094312\crops\ocr_crop_002.jpg
27,D669.3/FTT,D669.3/FTT,0.9923,True,green,排序正确,27,"[0, 608, 8, 142]","[1092, 608, 40, 142]",train_final\IMG20260517094312\crops\ocr_crop_018.jpg
28,D669.3/FX,D669.3/FX,0.9966,True,green,排序正确,28,"[0, 626, 8, 132]","[1134, 626, 39, 132]",train_final\IMG20260517094312\crops\ocr_crop_029.jpg
29,D669.3/FY,D669.3/FY,0.9965,True,green,排序正确,29,"[0, 621, 8, 124]","[1156, 621, 42, 124]",train_final\IMG20260517094312\crops\ocr_crop_028.jpg
