actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D669.3/BWH,D669.3/BWH,0.9964,True,green,排序正确,1,"[0, 585, 8, 141]","[34, 585, 40, 141]",train_final\IMG20260517094303\crops\ocr_crop_008.jpg
2,D669.3/BWJ,D669.3/BWJ,0.9969,True,green,排序正确,2,"[0, 577, 8, 141]","[85, 577, 43, 141]",train_final\IMG20260517094303\crops\ocr_crop_003.jpg
3,D669.3/BWN,D669.3/BWN,0.9978,True,green,排序正确,3,"[0, 579, 8, 142]","[123, 579, 43, 142]",train_final\IMG20260517094303\crops\ocr_crop_005.jpg
4,D669.3/BWN1,D669.3/BWN1,0.9978,True,green,排序正确,4,"[0, 571, 8, 151]","[164, 571, 43, 151]",train_final\IMG20260517094303\crops\ocr_crop_002.jpg
5,D669.3/CC1,D669.3/CC1,0.9937,True,green,排序正确,5,"[0, 561, 8, 176]","[204, 561, 40, 176]",train_final\IMG20260517094303\crops\ocr_crop_001.jpg
6,D669.3/CCB,D669.3/CCB,0.9989,True,green,排序正确,6,"[0, 587, 8, 127]","[237, 587, 35, 127]",train_final\IMG20260517094303\crops\ocr_crop_006.jpg
7,D669.3/CD,D669.3/CD,0.9987,True,green,排序正确,7,"[0, 591, 8, 119]","[270, 591, 36, 119]",train_final\IMG20260517094303\crops\ocr_crop_009.jpg
8,D669.3/CDJ,D669.3/CDJ,0.9983,True,green,排序正确,8,"[0, 591, 8, 128]","[296, 591, 38, 128]",train_final\IMG20260517094303\crops\ocr_crop_010.jpg
9,D669.3/CF1,D669.3/CF1,0.9972,True,green,排序正确,9,"[0, 574, 8, 156]","[335, 574, 41, 156]",train_final\IMG20260517094303\crops\ocr_crop_004.jpg
10,D669.3/CFL,D669.3/CFL,0.9990,True,green,排序正确,10,"[0, 597, 8, 129]","[380, 597, 37, 129]",train_final\IMG20260517094303\crops\ocr_crop_014.jpg
11,D669.3/CFP,D669.3/CFP,0.9984,True,green,排序正确,11,"[0, 590, 8, 136]","[400, 590, 34, 136]",train_final\IMG20260517094303\crops\ocr_crop_011.jpg
12,D669.3/CH,D669.3/CH,0.9671,True,green,排序正确,12,"[0, 599, 8, 124]","[431, 599, 34, 124]",train_final\IMG20260517094303\crops\ocr_crop_016.jpg
