actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path,ocr_attempts
14,D669.5/SL1,D669.5/SL1,0.9961,True,green,排序正确,13,"[0, 863, 8, 142]","[663, 844, 46, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_014.jpg,"[{""variant"": ""current"", ""crop_box"": [663, 844, 46, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_014.jpg"", ""raw_text"": ""D669.5/SL1"", ""clean_text"": ""D669.5/SL1"", ""confidence"": 0.996053, ""parse_ok"": true, ""score"": 235.105, ""selected"": true}]"
15,D669.5/SX,D669.5/SX,0.9922,True,green,排序正确,14,"[0, 864, 8, 118]","[715, 844, 44, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_015.jpg,"[{""variant"": ""current"", ""crop_box"": [715, 844, 44, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_015.jpg"", ""raw_text"": ""D669.5/SX"", ""clean_text"": ""D669.5/SX"", ""confidence"": 0.992249, ""parse_ok"": true, ""score"": 234.275, ""selected"": true}, {""variant"": ""crop_original"", ""crop_box"": [715, 844, 44, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_015_crop_original.jpg"", ""raw_text"": ""D669 5/SX"", ""clean_text"": ""D669.5/SX"", ""confidence"": 0.98749, ""parse_ok"": true, ""score"": 233.799, ""selected"": false}, {""variant"": ""x_expand_10"", ""crop_box"": [711, 844, 52, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_015_x_expand_10.jpg"", ""raw_text"": ""D669 5/SX"", ""clean_text"": ""D669.5/SX"", ""confidence"": 0.98749, ""parse_ok"": true, ""score"": 233.799, ""selected"": false}, {""variant"": ""expand_right_22"", ""crop_box"": [715, 844, 54, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_015_expand_right_22.jpg"", ""raw_text"": ""D669 5/ /SX 1"", ""clean_text"": ""D669.5//SX1"", ""confidence"": 0.74335, ""parse_ok"": false, ""score"": 39.285, ""selected"": false}, {""variant"": ""expand_left_22"", ""crop_box"": [705, 844, 54, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_015_expand_left_22.jpg"", ""raw_text"": ""D669 5/SX"", ""clean_text"": ""D669.5/SX"", ""confidence"": 0.98191, ""parse_ok"": true, ""score"": 233.241, ""selected"": false}, {""variant"": ""drop_top_red"", ""crop_box"": [715, 865, 44, 158], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_015_drop_top_red.jpg"", ""raw_text"": ""D669 5 SA C "", ""clean_text"": ""D6695SAC"", ""confidence"": 0.586861, ""parse_ok"": false, ""score"": 0.286, ""selected"": false}]"
16,D669.5/TJG,D669.5/TJG,0.9935,True,green,排序正确,15,"[0, 866, 8, 128]","[762, 844, 43, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_016.jpg,"[{""variant"": ""current"", ""crop_box"": [762, 844, 43, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_016.jpg"", ""raw_text"": ""D669.5/TJG"", ""clean_text"": ""D669.5/TJG"", ""confidence"": 0.993502, ""parse_ok"": true, ""score"": 234.85, ""selected"": true}]"
17,D669.5/WAH,D669.5/WAH,0.9952,True,green,排序正确,16,"[0, 867, 8, 129]","[843, 844, 41, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_017.jpg,"[{""variant"": ""current"", ""crop_box"": [843, 844, 41, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_017.jpg"", ""raw_text"": ""D669.5/WAH"", ""clean_text"": ""D669.5/WAH"", ""confidence"": 0.995175, ""parse_ok"": true, ""score"": 235.017, ""selected"": true}]"
18,D669.5/WDC,D669.5/WDC,0.9928,True,green,排序正确,17,"[0, 866, 8, 128]","[904, 844, 40, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_018.jpg,"[{""variant"": ""current"", ""crop_box"": [904, 844, 40, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_018.jpg"", ""raw_text"": ""D669.5/WDC"", ""clean_text"": ""D669.5/WDC"", ""confidence"": 0.992777, ""parse_ok"": true, ""score"": 234.778, ""selected"": true}]"
19,D669.5/WDD,D669.5/WDD,0.9959,True,green,排序正确,18,"[0, 870, 8, 127]","[955, 844, 40, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_019.jpg,"[{""variant"": ""current"", ""crop_box"": [955, 844, 40, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_019.jpg"", ""raw_text"": ""D669.5/WDD"", ""clean_text"": ""D669.5/WDD"", ""confidence"": 0.995941, ""parse_ok"": true, ""score"": 235.094, ""selected"": true}]"
20,D669.5/WLS,D669.5/WLS,0.9978,True,green,排序正确,19,"[0, 869, 8, 127]","[1006, 844, 40, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_020.jpg,"[{""variant"": ""current"", ""crop_box"": [1006, 844, 40, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_020.jpg"", ""raw_text"": ""D669.5/WLS"", ""clean_text"": ""D669.5/WLS"", ""confidence"": 0.997847, ""parse_ok"": true, ""score"": 235.285, ""selected"": true}]"
21,D669.5/WN,D669.5/WN,0.9969,True,green,排序正确,20,"[0, 875, 8, 113]","[1041, 844, 38, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_021.jpg,"[{""variant"": ""current"", ""crop_box"": [1041, 844, 38, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_021.jpg"", ""raw_text"": ""D669.5/WN"", ""clean_text"": ""D669.5/WN"", ""confidence"": 0.996889, ""parse_ok"": true, ""score"": 234.739, ""selected"": true}, {""variant"": ""crop_original"", ""crop_box"": [1041, 844, 38, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_021_crop_original.jpg"", ""raw_text"": ""D669. 5/WN"", ""clean_text"": ""D669.5/WN"", ""confidence"": 0.959629, ""parse_ok"": true, ""score"": 231.013, ""selected"": false}, {""variant"": ""x_expand_10"", ""crop_box"": [1038, 844, 44, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_021_x_expand_10.jpg"", ""raw_text"": ""D669. 5/WN"", ""clean_text"": ""D669.5/WN"", ""confidence"": 0.959629, ""parse_ok"": true, ""score"": 231.013, ""selected"": false}, {""variant"": ""expand_right_22"", ""crop_box"": [1041, 844, 46, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_021_expand_right_22.jpg"", ""raw_text"": ""1 D669. 5/WN"", ""clean_text"": ""D669.5/WN"", ""confidence"": 0.69175, ""parse_ok"": true, ""score"": 204.225, ""selected"": false}, {""variant"": ""expand_left_22"", ""crop_box"": [1033, 844, 46, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_021_expand_left_22.jpg"", ""raw_text"": ""D669. 5/WN"", ""clean_text"": ""D669.5/WN"", ""confidence"": 0.977248, ""parse_ok"": true, ""score"": 232.775, ""selected"": false}, {""variant"": ""drop_top_red"", ""crop_box"": [1041, 865, 38, 158], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_021_drop_top_red.jpg"", ""raw_text"": ""D669. 5/  WIN"", ""clean_text"": ""D669.5/WIN"", ""confidence"": 0.658297, ""parse_ok"": true, ""score"": 201.33, ""selected"": false}, {""variant"": ""neighbor_midline"", ""crop_box"": [1043, 844, 36, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_021_neighbor_midline.jpg"", ""raw_text"": ""D669. 5/ "", ""clean_text"": ""D669.5/"", ""confidence"": 0.652647, ""parse_ok"": false, ""score"": 6.415, ""selected"": false}]"
22,D669.5/WXN,D669.5/WXN,0.9982,True,green,排序正确,21,"[0, 871, 8, 127]","[1084, 844, 37, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_022.jpg,"[{""variant"": ""current"", ""crop_box"": [1084, 844, 37, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_022.jpg"", ""raw_text"": ""D669.5/WXN"", ""clean_text"": ""D669.5/WXN"", ""confidence"": 0.998241, ""parse_ok"": true, ""score"": 235.324, ""selected"": true}]"
23,D669.5/WYF,D669.5/WYF,0.9958,True,green,排序正确,22,"[0, 868, 8, 127]","[1120, 844, 43, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_023.jpg,"[{""variant"": ""current"", ""crop_box"": [1120, 844, 43, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_023.jpg"", ""raw_text"": ""D669.5/WYF"", ""clean_text"": ""D669.5/WYF"", ""confidence"": 0.995834, ""parse_ok"": true, ""score"": 235.083, ""selected"": true}]"
24,D669.5/WYL,D669.5/WYL,0.9960,True,green,排序正确,23,"[0, 868, 8, 126]","[1181, 844, 40, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_024.jpg,"[{""variant"": ""current"", ""crop_box"": [1181, 844, 40, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_024.jpg"", ""raw_text"": ""D669.5/WYL"", ""clean_text"": ""D669.5/WYL"", ""confidence"": 0.995978, ""parse_ok"": true, ""score"": 235.098, ""selected"": true}]"
25,D669.5/WZB,D669.5/WZB,0.9451,True,green,排序正确,24,"[0, 879, 8, 127]","[1225, 844, 41, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_025.jpg,"[{""variant"": ""current"", ""crop_box"": [1225, 844, 41, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_025.jpg"", ""raw_text"": ""D669.5/WZB"", ""clean_text"": ""D669.5/WZB"", ""confidence"": 0.945116, ""parse_ok"": true, ""score"": 230.012, ""selected"": true}]"
26,D669.5/WZH,D669.5/WZH,0.9913,True,green,排序正确,25,"[0, 872, 8, 127]","[1278, 844, 42, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_026.jpg,"[{""variant"": ""current"", ""crop_box"": [1278, 844, 42, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_026.jpg"", ""raw_text"": ""D669.5/WZH"", ""clean_text"": ""D669.5/WZH"", ""confidence"": 0.991262, ""parse_ok"": true, ""score"": 234.626, ""selected"": true}]"
27,D669.5/WZZ,D669.5/WZZ,0.9879,True,green,排序正确,26,"[0, 883, 8, 127]","[1334, 844, 45, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_027.jpg,"[{""variant"": ""current"", ""crop_box"": [1334, 844, 45, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_027.jpg"", ""raw_text"": ""D669.5/WZZ"", ""clean_text"": ""D669.5/WZZ"", ""confidence"": 0.987931, ""parse_ok"": true, ""score"": 234.293, ""selected"": true}]"
28,D669.5/XAP,D669.5/XAP,0.9954,True,green,排序正确,27,"[0, 878, 8, 121]","[1396, 844, 43, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_028.jpg,"[{""variant"": ""current"", ""crop_box"": [1396, 844, 43, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_028.jpg"", ""raw_text"": ""D669.5/XAP"", ""clean_text"": ""D669.5/XAP"", ""confidence"": 0.995358, ""parse_ok"": true, ""score"": 235.036, ""selected"": true}]"
29,D669.5/XLM,D669.5/XLM,0.9946,True,green,排序正确,28,"[0, 871, 8, 127]","[1438, 844, 44, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_029.jpg,"[{""variant"": ""current"", ""crop_box"": [1438, 844, 44, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_029.jpg"", ""raw_text"": ""D669.5/XLM"", ""clean_text"": ""D669.5/XLM"", ""confidence"": 0.994591, ""parse_ok"": true, ""score"": 234.959, ""selected"": true}]"
30,D669.5/XY,D669.5/XY,0.9753,True,green,排序正确,29,"[0, 862, 8, 120]","[1480, 844, 48, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_030.jpg,"[{""variant"": ""current"", ""crop_box"": [1480, 844, 48, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_030.jpg"", ""raw_text"": ""D669.5/XY"", ""clean_text"": ""D669.5/XY"", ""confidence"": 0.975345, ""parse_ok"": true, ""score"": 232.585, ""selected"": true}, {""variant"": ""crop_original"", ""crop_box"": [1480, 844, 48, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_030_crop_original.jpg"", ""raw_text"": ""1 D669. 5/ /XY"", ""clean_text"": ""1D669.5//XY"", ""confidence"": 0.749274, ""parse_ok"": false, ""score"": 11.877, ""selected"": false}, {""variant"": ""x_expand_10"", ""crop_box"": [1476, 844, 56, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_030_x_expand_10.jpg"", ""raw_text"": "" D669. 5/ /XY"", ""clean_text"": ""D669.5//XY"", ""confidence"": 0.690963, ""parse_ok"": false, ""score"": 33.596, ""selected"": false}, {""variant"": ""expand_right_22"", ""crop_box"": [1480, 844, 59, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_030_expand_right_22.jpg"", ""raw_text"": ""D669. 5/ XY"", ""clean_text"": ""D669.5/XY"", ""confidence"": 0.939745, ""parse_ok"": true, ""score"": 229.024, ""selected"": false}, {""variant"": ""expand_left_22"", ""crop_box"": [1469, 844, 59, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_030_expand_left_22.jpg"", ""raw_text"": ""D669. 5/ /XY"", ""clean_text"": ""D669.5//XY"", ""confidence"": 0.907265, ""parse_ok"": false, ""score"": 55.227, ""selected"": false}, {""variant"": ""drop_top_red"", ""crop_box"": [1480, 865, 48, 158], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_030_drop_top_red.jpg"", ""raw_text"": ""Q D669. 5/ - A"", ""clean_text"": ""D669.5/-A"", ""confidence"": 0.480847, ""parse_ok"": false, ""score"": 12.135, ""selected"": false}, {""variant"": ""neighbor_midline"", ""crop_box"": [1482, 844, 46, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_030_neighbor_midline.jpg"", ""raw_text"": ""D669.  5/XY"", ""clean_text"": ""D669.5/XY"", ""confidence"": 0.61794, ""parse_ok"": true, ""score"": 196.844, ""selected"": false}]"
31,D669.5/XY1,D669.5/XY1,0.9864,True,green,排序正确,30,"[0, 863, 8, 138]","[1537, 844, 41, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_031.jpg,"[{""variant"": ""current"", ""crop_box"": [1537, 844, 41, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_031.jpg"", ""raw_text"": ""D669.5/XY1"", ""clean_text"": ""D669.5/XY1"", ""confidence"": 0.986435, ""parse_ok"": true, ""score"": 234.144, ""selected"": true}]"
