actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path,ocr_attempts
11,D669.5/HJZ1,D669.5/HJZ1,0.9929,True,green,排序正确,8,"[0, 873, 8, 132]","[557, 843, 35, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_011.jpg,"[{""variant"": ""current"", ""crop_box"": [557, 843, 35, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_011.jpg"", ""raw_text"": ""D669.5/HJZ1"", ""clean_text"": ""D669.5/HJZ1"", ""confidence"": 0.99288, ""parse_ok"": true, ""score"": 235.238, ""selected"": true}]"
12,D669.5/HL,D669.5/HL,0.9810,True,green,排序正确,9,"[0, 878, 8, 110]","[651, 843, 35, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_012.jpg,"[{""variant"": ""current"", ""crop_box"": [651, 843, 35, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_012.jpg"", ""raw_text"": ""D669.5/HL"", ""clean_text"": ""D669.5/HL"", ""confidence"": 0.980971, ""parse_ok"": true, ""score"": 233.147, ""selected"": true}]"
13,D669.5/HL1,D669.5/HL1,0.9946,True,green,排序正确,10,"[0, 883, 8, 138]","[728, 843, 39, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_013.jpg,"[{""variant"": ""current"", ""crop_box"": [728, 843, 39, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_013.jpg"", ""raw_text"": ""D669.5/HL1"", ""clean_text"": ""D669.5/HL1"", ""confidence"": 0.994585, ""parse_ok"": true, ""score"": 234.958, ""selected"": true}]"
14,D669.5/HQJ,D669.5/HQJ,0.9952,True,green,排序正确,11,"[0, 884, 8, 120]","[774, 843, 36, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_014.jpg,"[{""variant"": ""current"", ""crop_box"": [774, 843, 36, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_014.jpg"", ""raw_text"": ""D669.5/HQJ"", ""clean_text"": ""D669.5/HQJ"", ""confidence"": 0.995188, ""parse_ok"": true, ""score"": 235.019, ""selected"": true}]"
15,D669.5/HWB,D669.5/HWB,0.9967,True,green,排序正确,12,"[0, 877, 8, 126]","[817, 843, 40, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_015.jpg,"[{""variant"": ""current"", ""crop_box"": [817, 843, 40, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_015.jpg"", ""raw_text"": ""D669.5/HWB"", ""clean_text"": ""D669.5/HWB"", ""confidence"": 0.996742, ""parse_ok"": true, ""score"": 235.174, ""selected"": true}]"
16,D669.5/HXY1,D669.5/HXY1,0.9718,True,green,排序正确,13,"[0, 881, 8, 136]","[876, 843, 37, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_016.jpg,"[{""variant"": ""current"", ""crop_box"": [876, 843, 37, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_016.jpg"", ""raw_text"": ""D669.5/HXY1"", ""clean_text"": ""D669.5/HXY1"", ""confidence"": 0.971813, ""parse_ok"": true, ""score"": 233.131, ""selected"": true}]"
17,D669.5/HY,D669.5/HY,0.9957,True,green,排序正确,14,"[0, 890, 8, 111]","[928, 843, 38, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_017.jpg,"[{""variant"": ""current"", ""crop_box"": [928, 843, 38, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_017.jpg"", ""raw_text"": ""D669.5/HY"", ""clean_text"": ""D669.5/HY"", ""confidence"": 0.995721, ""parse_ok"": true, ""score"": 234.622, ""selected"": true}]"
18,D669.5/JB,D669.5/JB,0.9974,True,green,排序正确,15,"[0, 896, 8, 113]","[984, 843, 39, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_018.jpg,"[{""variant"": ""current"", ""crop_box"": [984, 843, 39, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_018.jpg"", ""raw_text"": ""D669.5/JB"", ""clean_text"": ""D669.5/JB"", ""confidence"": 0.997418, ""parse_ok"": true, ""score"": 234.792, ""selected"": true}]"
19,D669.5/JLH,D669.5/JLH,0.9985,True,green,排序正确,16,"[0, 903, 8, 111]","[1039, 843, 35, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_019.jpg,"[{""variant"": ""current"", ""crop_box"": [1039, 843, 35, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_019.jpg"", ""raw_text"": ""D669.5/JLH"", ""clean_text"": ""D669.5/JLH"", ""confidence"": 0.998489, ""parse_ok"": true, ""score"": 235.349, ""selected"": true}]"
20,D669.5/JQL,D669.5/JQL,0.9973,True,green,排序正确,17,"[0, 901, 8, 124]","[1100, 843, 38, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_020.jpg,"[{""variant"": ""current"", ""crop_box"": [1100, 843, 38, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_020.jpg"", ""raw_text"": ""D669.5/JQL"", ""clean_text"": ""D669.5/JQL"", ""confidence"": 0.99726, ""parse_ok"": true, ""score"": 235.226, ""selected"": true}]"
21,D669.5/JWW,D669.5/JWW,0.9712,True,green,排序正确,18,"[0, 906, 8, 121]","[1146, 843, 36, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_021.jpg,"[{""variant"": ""current"", ""crop_box"": [1146, 843, 36, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_021.jpg"", ""raw_text"": ""D669.5/JWW"", ""clean_text"": ""D669.5/JWW"", ""confidence"": 0.971225, ""parse_ok"": true, ""score"": 232.622, ""selected"": true}]"
22,D669.5/LDH,D669.5/LDH,0.9972,True,green,排序正确,19,"[0, 897, 8, 125]","[1191, 843, 40, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_022.jpg,"[{""variant"": ""current"", ""crop_box"": [1191, 843, 40, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_022.jpg"", ""raw_text"": ""D669.5/LDH"", ""clean_text"": ""D669.5/LDH"", ""confidence"": 0.997175, ""parse_ok"": true, ""score"": 235.217, ""selected"": true}]"
23,D669.5/LGC,D669.5/LGC,0.9975,True,green,排序正确,20,"[0, 904, 8, 120]","[1258, 843, 38, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_023.jpg,"[{""variant"": ""current"", ""crop_box"": [1258, 843, 38, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_023.jpg"", ""raw_text"": ""D669.5/LGC"", ""clean_text"": ""D669.5/LGC"", ""confidence"": 0.997546, ""parse_ok"": true, ""score"": 235.255, ""selected"": true}]"
24,D669.5/LHH,D669.5/LHH,0.9954,True,green,排序正确,21,"[0, 906, 8, 125]","[1301, 843, 35, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_024.jpg,"[{""variant"": ""current"", ""crop_box"": [1301, 843, 35, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_024.jpg"", ""raw_text"": ""D669.5/LHH"", ""clean_text"": ""D669.5/LHH"", ""confidence"": 0.995378, ""parse_ok"": true, ""score"": 235.038, ""selected"": true}]"
25,D669.5/LK,D669.5/LK,0.9972,True,green,排序正确,22,"[0, 910, 8, 112]","[1335, 843, 37, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_025.jpg,"[{""variant"": ""current"", ""crop_box"": [1335, 843, 37, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_025.jpg"", ""raw_text"": ""D669.5/LK"", ""clean_text"": ""D669.5/LK"", ""confidence"": 0.997172, ""parse_ok"": true, ""score"": 234.767, ""selected"": true}]"
26,D669.6/LNN,D669.6/LNN,0.9977,True,red,推荐位置应为 26,26,"[0, 910, 8, 125]","[1376, 843, 37, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_026.jpg,"[{""variant"": ""current"", ""crop_box"": [1376, 843, 37, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_026.jpg"", ""raw_text"": ""D669.6/LNN"", ""clean_text"": ""D669.6/LNN"", ""confidence"": 0.997673, ""parse_ok"": true, ""score"": 235.267, ""selected"": true}]"
27,D669.5/LQM,D669.5/LQM,0.9949,True,green,排序正确,23,"[0, 923, 8, 125]","[1421, 843, 42, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_027.jpg,"[{""variant"": ""current"", ""crop_box"": [1421, 843, 42, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_027.jpg"", ""raw_text"": ""D669.5/LQM"", ""clean_text"": ""D669.5/LQM"", ""confidence"": 0.99491, ""parse_ok"": true, ""score"": 234.991, ""selected"": true}]"
28,D669.5/LRG,D669.5/LRG,0.9974,True,green,排序正确,24,"[0, 916, 8, 125]","[1477, 843, 38, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_028.jpg,"[{""variant"": ""current"", ""crop_box"": [1477, 843, 38, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_028.jpg"", ""raw_text"": ""D669.5/LRG"", ""clean_text"": ""D669.5/LRG"", ""confidence"": 0.997449, ""parse_ok"": true, ""score"": 235.245, ""selected"": true}]"
29,D669.5/LSZ1,D669.5/LSZ1,0.9928,True,green,排序正确,25,"[0, 900, 8, 136]","[1535, 843, 42, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_029.jpg,"[{""variant"": ""current"", ""crop_box"": [1535, 843, 42, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_029.jpg"", ""raw_text"": ""D669.5/LSZ1"", ""clean_text"": ""D669.5/LSZ1"", ""confidence"": 0.992818, ""parse_ok"": true, ""score"": 235.232, ""selected"": true}]"
